,BHK,Baths,Total_Area_SqFt,BuiltUp_Area_Sqm,Price_per_SqFt,Type_of_Land,Location,Price
2287,2,2,1000,93,5800,Apartment,RT Nagar,5800000
2288,3,3,2347,218,17043,Apartment,Malleshwaram,40000000
2289,2,2,1129,105,6200,Apartment,Sarjapura Attibele Road,7000000
2290,0,0,2400,223,3000,Residential land / Plot,PC paradise,7200000
2291,1,1,635,59,4724,Apartment,Electronics City Phase 1,3000000
2292,0,0,1000,93,19000,Residential land / Plot,Agrahara Dasarahalli,19000000
2293,2,2,1260,117,10079,Apartment,Xavier Layout,12700000
2294,3,3,1338,124,6875,Apartment,Choodasandra,9200000
2295,4,4,2400,223,6041,Bedroom House,Malur,14500000
2296,3,3,1650,153,5151,Apartment,Sultan Palaya,8500000
2297,5,5,2400,223,4457,Bedroom House,Neraluru,23000000
2298,0,0,1500,139,6600,Residential land / Plot,Sathanur,9900000
2299,2,2,1285,119,10506,Apartment,Whitefield,13500000
2300,2,2,711,66,6329,Apartment,Sarjapur,4500000
2301,2,2,1042,97,5950,Apartment,Marathahalli,6200000
2302,2,2,1000,93,8500,Apartment,Kadubeesanahalli,8500000
2303,2,2,759,71,5534,Apartment,Sarjapur Road,4200000
2304,2,2,1005,93,4279,Apartment,Balaji Layout,4300000
2305,3,3,1750,163,4000,Apartment,Uttarahalli,7000000
2306,7,7,600,56,17500,Bedroom House,Pillanna Gardens,10500000
2307,2,2,1323,123,6802,Apartment,JP Nagar,9000000
2308,3,3,1215,113,7407,Apartment,JP Nagar,9000000
2309,3,3,1415,131,3958,Apartment,Gottigere,5600000
2310,0,0,5500,511,1099,Residential land / Plot,Sarjapur Road,6044000
2311,3,3,1600,149,5312,Apartment,Sahakara Nagar,8500000
2312,2,2,938,87,5650,Apartment,Singasandra,5300000
2313,2,2,1120,104,4017,Apartment,Attibele,4500000
2314,2,2,1032,96,13565,Apartment,Mahadevpura,14000000
2315,0,0,2650,246,3472,Residential land / Plot,Electronic City,9200000
2316,3,3,1900,177,5684,Apartment,Kasavanhalli,10800000
2317,2,2,1200,111,3333,Apartment,Begur Road,4000000
2318,0,0,1200,111,2850,Residential land / Plot,"Varthur Road, Sarjapur",3420000
2319,1,1,4000,372,3750,Bedroom House,Bannerghatta Road,15000000
2320,0,0,1200,111,3333,Residential land / Plot,Shauhardha Layout,4000000
2321,4,4,1850,172,6757,Bedroom House,Ullal Main Road,12500000
2322,2,2,680,63,6323,Bedroom House,"Kaveri Nagar, Bommanahalli",4300000
2323,4,4,1500,139,5333,Bedroom House,J. P. Nagar,8000000
2324,2,2,950,88,6947,Bedroom House,"Electronics City Phase 1, Electronic City",6600000
2325,2,2,883,82,4983,Apartment,Kengeri Hobli,4400000
2326,3,3,1350,125,6296,Apartment,Bendiganahalli,8500000
2327,3,3,1535,143,5537,Apartment,Nobo Nagar,8500000
2328,3,3,2500,232,12400,Apartment,Vasanth nagar,31000000
2329,4,4,4400,409,8522,Apartment,Kalyan Nagar,37500000
2330,2,2,1064,99,6109,Apartment,Kalkere,6500000
2331,3,3,2000,186,7250,Apartment,Basavanagudi,14500000
2332,3,3,1200,111,5833,Apartment,"Haralur Main Road, HSR Layout",7000000
2333,2,2,1888,175,10063,Apartment,Talaghattapura,19000000
2334,3,3,1821,169,10159,Apartment,Brigade Cornerstone Utopia,18500000
2335,1,1,1200,111,5000,Bedroom House,Kengeri Satellite Town,6000000
