,location,price_per_sqft,total_sqft,builtup_area,bhk,price
146,Residential land / Plot in Shamshabad,"₹ 38,333/sq.ft.",300 sq.ft. (28 sq.m.) Plot Area,(28 sq.m.) Plot Area,,"₹ 1.15 Cr₹ 38,333/sq.ft."
147,3 BHK Apartment in Old Alwal,"₹ 5,508/sq.ft.","1,670 sq.ft. (155 sq.m.) Carpet Area",(155 sq.m.) Carpet Area,3 BHK3 Baths,"₹ 92 L₹ 5,508/sq.ft."
148,2 BHK Apartment in Masjid Banda,"₹ 9,001/sq.ft.","1,222 sq.ft. (114 sq.m.) Carpet Area",(114 sq.m.) Carpet Area,2 BHK2 Baths,"₹ 1.1 Cr₹ 9,001/sq.ft."
149,4 Bedroom House in Brindavan Colony,"₹ 150,442/sq.ft.",226 sq.ft. (21 sq.m.) Plot Area,(21 sq.m.) Plot Area,4 BHK3 Baths,"₹ 3.4 Cr₹ 150,442/sq.ft."
150,4 Bedroom House in Bandlaguda Jagir,"₹ 19,157/sq.ft.","2,088 sq.ft. (194 sq.m.) Plot Area",(194 sq.m.) Plot Area,4 BHK5 Baths,"₹ 4 Cr₹ 19,157/sq.ft."
151,4 BHK Independent Builder Floor in Mallapur,"₹ 6,095/sq.ft.","2,100 sq.ft. (195 sq.m.) Carpet Area",(195 sq.m.) Carpet Area,4 BHK4 Baths,"₹ 1.28 Cr₹ 6,095/sq.ft."
152,Residential land / Plot in Patancheru,"₹ 4,444/sq.ft.","3,240 sq.ft. (301 sq.m.) Plot Area",(301 sq.m.) Plot Area,,"₹ 1.44 Cr₹ 4,444/sq.ft."
153,3 BHK Apartment in Manikonda,"₹ 3,833/sq.ft.","1,200 sq.ft. (111 sq.m.) Built-up Area",(111 sq.m.) Built-up Area,3 BHK3 Baths,"₹ 46 L₹ 3,833/sq.ft."
154,2 BHK Apartment in Manikonda,"₹ 6,499/sq.ft.","1,000 sq.ft. (93 sq.m.) Carpet Area",(93 sq.m.) Carpet Area,2 BHK2 Baths,"₹ 65 L₹ 6,499/sq.ft."
155,4 Bedroom House in Kompally,"₹ 14,775/sq.ft.","1,692 sq.ft. (157 sq.m.) Plot Area",(157 sq.m.) Plot Area,4 BHK4 Baths,"₹ 2.38 Cr₹ 14,775/sq.ft."
156,2 BHK Apartment in ECIL,"₹ 5,202/sq.ft.",865 sq.ft. (80 sq.m.) Carpet Area,(80 sq.m.) Carpet Area,2 BHK2 Baths,"₹ 45 L₹ 5,202/sq.ft."
