,location,price_per_sqft,total_sqft,builtup_area,bhk,price
158,2 BHK Apartment in Sector 9 Kamothe,"₹ 6,842/sq.ft.",950 sq.ft. (88 sq.m.) Built-up Area,(88 sq.m.) Built-up Area,2 BHK2 Baths,"₹ 65 L₹ 6,842/sq.ft."
159,Residential land / Plot in Ranjanpada,₹ 386/sq.ft.,"1,089 sq.ft. (101 sq.m.) Plot Area",(101 sq.m.) Plot Area,,₹ 4.21 L₹ 386/sq.ft.
160,2 BHK Apartment in Koperkhairane,"₹ 9,333/sq.ft.","1,050 sq.ft. (98 sq.m.) Super built-up Area",(98 sq.m.) Super built-up Area,2 BHK2 Baths,"₹ 98 L₹ 9,333/sq.ft."
161,2 BHK Apartment in Sector 15 Kopar Khairane,"₹ 10,000/sq.ft.","1,100 sq.ft. (102 sq.m.) Super built-up Area",(102 sq.m.) Super built-up Area,2 BHK2 Baths,"₹ 1.1 Cr₹ 10,000/sq.ft."
162,3 BHK Apartment in Ghansoli,"₹ 16,666/sq.ft.","1,650 sq.ft. (153 sq.m.) Super built-up Area",(153 sq.m.) Super built-up Area,3 BHK3 Baths,"₹ 2.75 Cr₹ 16,666/sq.ft."
163,2 BHK Apartment in Ghansoli,"₹ 14,166/sq.ft.","1,200 sq.ft. (111 sq.m.) Super built-up Area",(111 sq.m.) Super built-up Area,2 BHK2 Baths,"₹ 1.7 Cr₹ 14,166/sq.ft."
164,2 BHK Apartment in Koperkhairane,"₹ 13,636/sq.ft.","1,100 sq.ft. (102 sq.m.) Super built-up Area",(102 sq.m.) Super built-up Area,2 BHK2 Baths,"₹ 1.5 Cr₹ 13,636/sq.ft."
165,3 BHK Apartment in Koperkhairane,"₹ 13,214/sq.ft.","1,400 sq.ft. (130 sq.m.) Super built-up Area",(130 sq.m.) Super built-up Area,3 BHK2 Baths,"₹ 1.85 Cr₹ 13,214/sq.ft."
166,2 BHK Apartment in Kalamboli,"₹ 7,433/sq.ft.","1,130 sq.ft. (105 sq.m.) Super built-up Area",(105 sq.m.) Super built-up Area,2 BHK2 Baths,"₹ 84 L₹ 7,433/sq.ft."
167,Residential land / Plot in Ulwe,₹ 642/sq.ft.,"1,089 sq.ft. (101 sq.m.) Plot Area",(101 sq.m.) Plot Area,,₹ 7 L₹ 642/sq.ft.
