,location,price_per_sqft,total_sqft,builtup_area,bhk,price
119,3 BHK Independent Builder Floor in Rishabh Vihar,"₹ 20,114/sq.ft.","1,740 sq.ft. (162 sq.m.) Super built-up Area",(162 sq.m.) Super built-up Area,3 BHK2 Baths,"₹ 3.5 Cr₹ 20,114/sq.ft."
120,10 Bedroom House in Sector 36 Noida,"₹ 22,297/sq.ft.","4,036 sq.ft. (375 sq.m.) Plot Area",(375 sq.m.) Plot Area,10 BHK10 Baths,"₹ 9 Cr₹ 22,297/sq.ft."
121,2 BHK Apartment in Dilshad Colony,"₹ 6,133/sq.ft.",750 sq.ft. (70 sq.m.) Super built-up Area,(70 sq.m.) Super built-up Area,2 BHK2 Baths,"₹ 46 L₹ 6,133/sq.ft."
122,2 BHK Independent Builder Floor in B 2B Block Janakpuri,"₹ 8,889/sq.ft.",675 sq.ft. (63 sq.m.) Carpet Area,(63 sq.m.) Carpet Area,2 BHK2 Baths,"₹ 60 L₹ 8,889/sq.ft."
123,5 BHK Independent Builder Floor in Ashok Vihar Phase 2,"₹ 24,250/sq.ft.","2,268 sq.ft. (211 sq.m.) Super built-up Area",(211 sq.m.) Super built-up Area,5 BHK4 Baths,"₹ 5.5 Cr₹ 24,250/sq.ft."
124,2 BHK Apartment in Shalimar Bagh,"₹ 12,720/sq.ft.","1,250 sq.ft. (116 sq.m.) Super built-up Area",(116 sq.m.) Super built-up Area,2 BHK2 Baths,"₹ 1.59 Cr₹ 12,720/sq.ft."
125,3 BHK Apartment in Raj Nagar Extension,"₹ 3,786/sq.ft.","1,360 sq.ft. (126 sq.m.) Carpet Area",(126 sq.m.) Carpet Area,3 BHK2 Baths,"₹ 51.5 L₹ 3,786/sq.ft."
126,Residential land / Plot in Sector 42 Gurgaon,"₹ 27,222/sq.ft.",720 sq.ft. (67 sq.m.) Plot Area,(67 sq.m.) Plot Area,,"₹ 1.96 Cr₹ 27,222/sq.ft."
127,2 BHK Apartment in Sector 150 Noida,"₹ 17,643/sq.ft.",889 sq.ft. (83 sq.m.) Carpet Area,(83 sq.m.) Carpet Area,2 BHK2 Baths,"₹ 1.57 Cr₹ 17,643/sq.ft."
128,4 BHK Apartment in Golf Course Road,"₹ 8,235/sq.ft.","3,400 sq.ft. (316 sq.m.) Super built-up Area",(316 sq.m.) Super built-up Area,4 BHK4 Baths,"₹ 2.8 Cr₹ 8,235/sq.ft."
129,26 Bedroom House in Knowledge Park 3,"₹ 12,986/sq.ft.","10,010 sq.ft. (930 sq.m.) Plot Area",(930 sq.m.) Plot Area,26 BHK26 Baths,"₹ 13 Cr₹ 12,986/sq.ft."
130,2 BHK Apartment in Sector 120 Noida,"₹ 4,935/sq.ft.","1,317 sq.ft. (122 sq.m.) Carpet Area",(122 sq.m.) Carpet Area,2 BHK2 Baths,"₹ 65 L₹ 4,935/sq.ft."
131,10 Bedroom House in South City 1,"₹ 34,064/sq.ft.","3,229 sq.ft. (300 sq.m.) Plot Area",(300 sq.m.) Plot Area,10 BHK10 Baths,"₹ 11 Cr₹ 34,064/sq.ft."
132,3 BHK Independent Builder Floor in Sector 9 Gurgaon,"₹ 7,407/sq.ft.","1,620 sq.ft. (151 sq.m.) Carpet Area",(151 sq.m.) Carpet Area,3 BHK3 Baths,"₹ 1.2 Cr₹ 7,407/sq.ft."
133,4 BHK Apartment in Madhuban Bapudham,"₹ 5,285/sq.ft.","1,873 sq.ft. (174 sq.m.) Super built-up Area",(174 sq.m.) Super built-up Area,4 BHK3 Baths,"₹ 99 L₹ 5,285/sq.ft."
134,4 BHK Apartment in Sector 90 Gurgaon,"₹ 4,441/sq.ft.","2,364 sq.ft. (220 sq.m.) Super built-up Area",(220 sq.m.) Super built-up Area,4 BHK4 Baths,"₹ 1.2 Cr₹ 4,441/sq.ft."
135,3 BHK Apartment in Crossing Republik,"₹ 4,327/sq.ft.","1,525 sq.ft. (142 sq.m.) Super built-up Area",(142 sq.m.) Super built-up Area,3 BHK2 Baths,"₹ 66 L₹ 4,327/sq.ft."
136,2 BHK Apartment in Sector 150 Noida,"₹ 8,000/sq.ft.","1,100 sq.ft. (102 sq.m.) Super built-up Area",(102 sq.m.) Super built-up Area,2 BHK2 Baths,"₹ 88 L₹ 8,000/sq.ft."
137,2 BHK Apartment in Noida Extension,"₹ 2,371/sq.ft.",970 sq.ft. (90 sq.m.) Built-up Area,(90 sq.m.) Built-up Area,2 BHK2 Baths,"₹ 23 L₹ 2,371/sq.ft."
138,Residential land / Plot in sector 56 Faridabad,"₹ 4,624/sq.ft.","3,482 sq.ft. (323 sq.m.) Plot Area",(323 sq.m.) Plot Area,,"₹ 1.61 Cr₹ 4,624/sq.ft."
139,4 Bedroom House in Uttam Nagar West,"₹ 19,192/sq.ft.",495 sq.ft. (46 sq.m.) Plot Area,(46 sq.m.) Plot Area,4 BHK4 Baths,"₹ 95 L₹ 19,192/sq.ft."
140,3 BHK Independent Builder Floor in Vijay Nagar,"₹ 10,555/sq.ft.",900 sq.ft. (84 sq.m.) Carpet Area,(84 sq.m.) Carpet Area,3 BHK3 Baths,"₹ 95 L₹ 10,555/sq.ft."
141,2 BHK Apartment in Sector 119 Noida,"₹ 7,876/sq.ft.","1,333 sq.ft. (124 sq.m.) Super built-up Area",(124 sq.m.) Super built-up Area,2 BHK2 Baths,"₹ 1.05 Cr₹ 7,876/sq.ft."
142,4 BHK Independent Builder Floor in Sector 65 Gurgaon,"₹ 12,735/sq.ft.","3,023 sq.ft. (281 sq.m.) Super built-up Area",(281 sq.m.) Super built-up Area,4 BHK5 Baths,"₹ 3.85 Cr₹ 12,735/sq.ft."
143,3 BHK Independent Builder Floor in Uttam Nagar,"₹ 4,821/sq.ft.","1,035 sq.ft. (96 sq.m.) Carpet Area",(96 sq.m.) Carpet Area,3 BHK2 Baths,"₹ 49.9 L₹ 4,821/sq.ft."
144,3 BHK Apartment in Sector 1 Greater Noida West,"₹ 4,677/sq.ft.","1,550 sq.ft. (144 sq.m.) Super built-up Area",(144 sq.m.) Super built-up Area,3 BHK3 Baths,"₹ 72.5 L₹ 4,677/sq.ft."
145,Residential land / Plot in Govind Puram,"₹ 4,861/sq.ft.","1,152 sq.ft. (107 sq.m.) Plot Area",(107 sq.m.) Plot Area,,"₹ 56 L₹ 4,861/sq.ft."
146,3 BHK Apartment in Mayur Vihar Phase 1,"₹ 13,529/sq.ft.","1,700 sq.ft. (158 sq.m.) Built-up Area",(158 sq.m.) Built-up Area,3 BHK3 Baths,"₹ 2.3 Cr₹ 13,529/sq.ft."
147,2 BHK Independent Builder Floor in Sector 2A Vaishali,"₹ 4,153/sq.ft.",650 sq.ft. (60 sq.m.) Built-up Area,(60 sq.m.) Built-up Area,2 BHK2 Baths,"₹ 27 L₹ 4,153/sq.ft."
148,3 BHK Independent Builder Floor in Palam Extension,"₹ 5,625/sq.ft.",800 sq.ft. (74 sq.m.) Carpet Area,(74 sq.m.) Carpet Area,3 BHK2 Baths,"₹ 45 L₹ 5,625/sq.ft."
149,3 BHK Independent Builder Floor in B1 Block Janakpuri,"₹ 20,370/sq.ft.","1,350 sq.ft. (125 sq.m.) Built-up Area",(125 sq.m.) Built-up Area,3 BHK3 Baths,"₹ 2.75 Cr₹ 20,370/sq.ft."
150,2 BHK Apartment in Hari Nagar,"₹ 6,556/sq.ft.",990 sq.ft. (92 sq.m.) Carpet Area,(92 sq.m.) Carpet Area,2 BHK2 Baths,"₹ 64.9 L₹ 6,556/sq.ft."
151,4 BHK Apartment in Mayur Vihar Phase 2,"₹ 11,923/sq.ft.","2,600 sq.ft. (242 sq.m.) Carpet Area",(242 sq.m.) Carpet Area,4 BHK4 Baths,"₹ 3.1 Cr₹ 11,923/sq.ft."
152,3 BHK Independent Builder Floor in Sector 8 Dwarka,"₹ 11,968/sq.ft.","1,880 sq.ft. (175 sq.m.) Carpet Area",(175 sq.m.) Carpet Area,3 BHK3 Baths,"₹ 2.25 Cr₹ 11,968/sq.ft."
153,3 BHK Independent Builder Floor in Nangal Dewat,"₹ 15,625/sq.ft.","1,600 sq.ft. (149 sq.m.) Built-up Area",(149 sq.m.) Built-up Area,3 BHK3 Baths,"₹ 2.5 Cr₹ 15,625/sq.ft."
154,2 BHK Apartment in Patel Nagar 2,"₹ 6,625/sq.ft.",800 sq.ft. (74 sq.m.) Carpet Area,(74 sq.m.) Carpet Area,2 BHK2 Baths,"₹ 53 L₹ 6,625/sq.ft."
155,2 BHK Independent Builder Floor in Mahavir Enclave,"₹ 5,853/sq.ft.","1,025 sq.ft. (95 sq.m.) Carpet Area",(95 sq.m.) Carpet Area,2 BHK2 Baths,"₹ 60 L₹ 5,853/sq.ft."
156,3 Bedroom House in Sector 104 Gurgaon,"₹ 14,815/sq.ft.",540 sq.ft. (50 sq.m.) Plot Area,(50 sq.m.) Plot Area,3 BHK3 Baths,"₹ 80 L₹ 14,815/sq.ft."
157,3 BHK Apartment in Sector 150 Noida,"₹ 7,400/sq.ft.","1,625 sq.ft. (151 sq.m.) Super built-up Area",(151 sq.m.) Super built-up Area,3 BHK3 Baths,"₹ 1.2 Cr₹ 7,400/sq.ft."
158,3 BHK Independent Builder Floor in Sector 67 Gurgaon,"₹ 4,550/sq.ft.","2,637 sq.ft. (245 sq.m.) Super built-up Area",(245 sq.m.) Super built-up Area,3 BHK3 Baths,"₹ 1.12 Cr₹ 4,550/sq.ft."
159,9 Bedroom House in Sector 47 Gurgaon,"₹ 27,778/sq.ft.","1,944 sq.ft. (181 sq.m.) Plot Area",(181 sq.m.) Plot Area,9 BHK9 Baths,"₹ 5.4 Cr₹ 27,778/sq.ft."
160,4 BHK Apartment in Vasant Kunj,"₹ 17,842/sq.ft.","1,900 sq.ft. (177 sq.m.) Built-up Area",(177 sq.m.) Built-up Area,4 BHK4 Baths,"₹ 3.39 Cr₹ 17,842/sq.ft."
161,3 BHK Apartment in Freedom Fighter Enclave,"₹ 6,666/sq.ft.","1,800 sq.ft. (167 sq.m.) Carpet Area",(167 sq.m.) Carpet Area,3 BHK3 Baths,"₹ 1.2 Cr₹ 6,666/sq.ft."
162,3 BHK Independent Builder Floor in DaryaGanj,"₹ 6,363/sq.ft.","1,100 sq.ft. (102 sq.m.) Carpet Area",(102 sq.m.) Carpet Area,3 BHK2 Baths,"₹ 70 L₹ 6,363/sq.ft."
163,4 BHK Independent Builder Floor in Sector 8 Faridabad,"₹ 4,755/sq.ft.","2,250 sq.ft. (209 sq.m.) Carpet Area",(209 sq.m.) Carpet Area,4 BHK3 Baths,"₹ 1.07 Cr₹ 4,755/sq.ft."
164,1 BHK Independent Builder Floor in Dwarka Mor,"₹ 3,625/sq.ft.",400 sq.ft. (37 sq.m.) Carpet Area,(37 sq.m.) Carpet Area,1 BHK1 Bath,"₹ 14.5 L₹ 3,625/sq.ft."
165,1 BHK Apartment in Shalimar Garden Extension 2,"₹ 5,200/sq.ft.",500 sq.ft. (46 sq.m.) Carpet Area,(46 sq.m.) Carpet Area,1 BHK1 Bath,"₹ 26 L₹ 5,200/sq.ft."
166,3 Bedroom House in Yamuna Expressway,"₹ 6,296/sq.ft.","1,350 sq.ft. (125 sq.m.) Plot Area",(125 sq.m.) Plot Area,3 BHK3 Baths,"₹ 85 L₹ 6,296/sq.ft."
167,3 BHK Apartment in Safdarjung Enclave,"₹ 23,016/sq.ft.","1,412 sq.ft. (131 sq.m.) Super built-up Area",(131 sq.m.) Super built-up Area,3 BHK3 Baths,"₹ 3.25 Cr₹ 23,016/sq.ft."
168,Residential land / Plot in Swaran Nagri,"₹ 9,290/sq.ft.","2,152 sq.ft. (200 sq.m.) Plot Area",(200 sq.m.) Plot Area,,"₹ 2 Cr₹ 9,290/sq.ft."
169,3 BHK Apartment in East of Kailash,"₹ 20,370/sq.ft.","1,350 sq.ft. (125 sq.m.) Super built-up Area",(125 sq.m.) Super built-up Area,3 BHK2 Baths,"₹ 2.65 Cr₹ 20,370/sq.ft."
170,Residential land / Plot in Sector 18 Yamuna Expressway,"₹ 46,666/sq.ft.",300 sq.ft. (28 sq.m.) Plot Area,(28 sq.m.) Plot Area,,"₹ 1.3 Cr₹ 46,666/sq.ft."
171,3 BHK Independent Builder Floor in D Block Vikaspuri,"₹ 11,613/sq.ft.","1,119 sq.ft. (104 sq.m.) Carpet Area",(104 sq.m.) Carpet Area,3 BHK3 Baths,"₹ 1.3 Cr₹ 11,613/sq.ft."
172,3 BHK Apartment in Sector 9 Rohini,"₹ 15,910/sq.ft.","1,100 sq.ft. (102 sq.m.) Built-up Area",(102 sq.m.) Built-up Area,3 BHK2 Baths,"₹ 1.9 Cr₹ 15,910/sq.ft."
173,3 BHK Apartment in Jahangir Puri,"₹ 8,125/sq.ft.",800 sq.ft. (74 sq.m.) Carpet Area,(74 sq.m.) Carpet Area,3 BHK2 Baths,"₹ 65 L₹ 8,125/sq.ft."
174,4 BHK Independent Builder Floor in Rajouri garden,"₹ 22,732/sq.ft.","1,979 sq.ft. (184 sq.m.) Built-up Area",(184 sq.m.) Built-up Area,4 BHK4 Baths,"₹ 4.5 Cr₹ 22,732/sq.ft."
175,3 BHK Apartment in Vikas Puri,"₹ 8,800/sq.ft.","1,250 sq.ft. (116 sq.m.) Carpet Area",(116 sq.m.) Carpet Area,3 BHK3 Baths,"₹ 1.1 Cr₹ 8,800/sq.ft."
176,3 BHK Independent Builder Floor in Saket,"₹ 3,937/sq.ft.","1,143 sq.ft. (106 sq.m.) Carpet Area",(106 sq.m.) Carpet Area,3 BHK2 Baths,"₹ 45 L₹ 3,937/sq.ft."
177,3 BHK Apartment in Sector 88 Faridabad,"₹ 4,835/sq.ft.","1,975 sq.ft. (183 sq.m.) Carpet Area",(183 sq.m.) Carpet Area,3 BHK3 Baths,"₹ 95.5 L₹ 4,835/sq.ft."
178,2 BHK Independent Builder Floor in Sector 3 Vaishali,"₹ 6,428/sq.ft.",700 sq.ft. (65 sq.m.) Carpet Area,(65 sq.m.) Carpet Area,2 BHK2 Baths,"₹ 45 L₹ 6,428/sq.ft."
179,3 BHK Independent Builder Floor in Dilshad Colony,"₹ 9,722/sq.ft.","1,800 sq.ft. (167 sq.m.) Carpet Area",(167 sq.m.) Carpet Area,3 BHK2 Baths,"₹ 1.75 Cr₹ 9,722/sq.ft."
180,4 BHK Apartment in Indirapuram,"₹ 8,860/sq.ft.","2,370 sq.ft. (220 sq.m.) Super built-up Area",(220 sq.m.) Super built-up Area,4 BHK4 Baths,"₹ 2.1 Cr₹ 8,860/sq.ft."
181,2 BHK Apartment in Sector 1 Greater Noida West,"₹ 6,363/sq.ft.","1,100 sq.ft. (102 sq.m.) Super built-up Area",(102 sq.m.) Super built-up Area,2 BHK2 Baths,"₹ 70 L₹ 6,363/sq.ft."
182,3 BHK Apartment in Sector 86 Gurgaon,"₹ 7,772/sq.ft.","1,930 sq.ft. (179 sq.m.) Super built-up Area",(179 sq.m.) Super built-up Area,3 BHK3 Baths,"₹ 1.5 Cr₹ 7,772/sq.ft."
183,2 BHK Apartment in Alpha 1 Greater Noida,"₹ 5,581/sq.ft.","1,290 sq.ft. (120 sq.m.) Super built-up Area",(120 sq.m.) Super built-up Area,2 BHK2 Baths,"₹ 72 L₹ 5,581/sq.ft."
184,4 BHK Apartment in Paschim Vihar,"₹ 6,388/sq.ft.","1,800 sq.ft. (167 sq.m.) Carpet Area",(167 sq.m.) Carpet Area,4 BHK2 Baths,"₹ 1.15 Cr₹ 6,388/sq.ft."
185,2 BHK Apartment in Kaushambi,"₹ 4,500/sq.ft.","1,000 sq.ft. (93 sq.m.) Carpet Area",(93 sq.m.) Carpet Area,2 BHK2 Baths,"₹ 45 L₹ 4,500/sq.ft."
186,2 BHK Apartment in Sector 76 Noida,"₹ 6,170/sq.ft.",940 sq.ft. (87 sq.m.) Built-up Area,(87 sq.m.) Built-up Area,2 BHK2 Baths,"₹ 58 L₹ 6,170/sq.ft."
187,2 BHK Apartment in Lal Kuan,"₹ 2,941/sq.ft.","1,190 sq.ft. (111 sq.m.) Super built-up Area",(111 sq.m.) Super built-up Area,2 BHK2 Baths,"₹ 33 L₹ 2,941/sq.ft."
188,3 BHK Apartment in Vasundhara Enclave,"₹ 11,803/sq.ft.","1,525 sq.ft. (142 sq.m.) Carpet Area",(142 sq.m.) Carpet Area,3 BHK4 Baths,"₹ 1.8 Cr₹ 11,803/sq.ft."
189,2 BHK Apartment in Sector 86 Faridabad,"₹ 4,721/sq.ft.","1,165 sq.ft. (108 sq.m.) Built-up Area",(108 sq.m.) Built-up Area,2 BHK2 Baths,"₹ 49 L₹ 4,721/sq.ft."
190,1 BHK Apartment in Sector 4 Vasundhara,"₹ 6,882/sq.ft.",581 sq.ft. (54 sq.m.) Carpet Area,(54 sq.m.) Carpet Area,1 BHK1 Bath,"₹ 40 L₹ 6,882/sq.ft."
191,2 BHK Apartment in Sector 43 Noida,"₹ 21,608/sq.ft.",777 sq.ft. (72 sq.m.) Carpet Area,(72 sq.m.) Carpet Area,2 BHK2 Baths,"₹ 1.68 Cr₹ 21,608/sq.ft."
192,2 BHK Apartment in Sector 93 Noida,"₹ 5,636/sq.ft.","1,100 sq.ft. (102 sq.m.) Super built-up Area",(102 sq.m.) Super built-up Area,2 BHK2 Baths,"₹ 62 L₹ 5,636/sq.ft."
193,3 BHK Apartment in Sector 93 A Noida,"₹ 6,250/sq.ft.","1,950 sq.ft. (181 sq.m.) Super built-up Area",(181 sq.m.) Super built-up Area,3 BHK3 Baths,"₹ 1.25 Cr₹ 6,250/sq.ft."
194,Residential land / Plot in Greater Noida West,"₹ 1,793/sq.ft.",585 sq.ft. (54 sq.m.) Plot Area,(54 sq.m.) Plot Area,,"₹ 10.49 L₹ 1,793/sq.ft."
195,2 Bedroom House in Sector 11 Rohini,"₹ 65,806/sq.ft.","1,291 sq.ft. (120 sq.m.) Plot Area",(120 sq.m.) Plot Area,2 BHK3 Baths,"₹ 8.5 Cr₹ 65,806/sq.ft."
196,3 BHK Independent Builder Floor in Old Rajender Nagar,"₹ 32,828/sq.ft.",792 sq.ft. (74 sq.m.) Carpet Area,(74 sq.m.) Carpet Area,3 BHK3 Baths,"₹ 2.6 Cr₹ 32,828/sq.ft."
197,2 BHK Apartment in Sector 34 Noida,"₹ 4,833/sq.ft.","1,200 sq.ft. (111 sq.m.) Built-up Area",(111 sq.m.) Built-up Area,2 BHK2 Baths,"₹ 58 L₹ 4,833/sq.ft."
198,2 BHK Independent Builder Floor in Rajouri garden,"₹ 8,668/sq.ft.","1,269 sq.ft. (118 sq.m.) Built-up Area",(118 sq.m.) Built-up Area,2 BHK2 Baths,"₹ 1.1 Cr₹ 8,668/sq.ft."
199,3 BHK Apartment in Sector 61 Gurgaon,"₹ 13,590/sq.ft.","1,398 sq.ft. (130 sq.m.) Carpet Area",(130 sq.m.) Carpet Area,3 BHK3 Baths,"₹ 1.9 Cr₹ 13,590/sq.ft."
200,10 Bedroom House in Sector 61 Noida,"₹ 14,452/sq.ft.","4,843 sq.ft. (450 sq.m.) Plot Area",(450 sq.m.) Plot Area,10 BHK9 Baths,"₹ 7 Cr₹ 14,452/sq.ft."
201,5 BHK Independent Builder Floor in Greater Kailash I,"₹ 18,333/sq.ft.","9,000 sq.ft. (836 sq.m.) Super built-up Area",(836 sq.m.) Super built-up Area,5 BHK5 Baths,"₹ 16.5 Cr₹ 18,333/sq.ft."
202,3 BHK Apartment in Pitampura,"₹ 14,054/sq.ft.","1,850 sq.ft. (172 sq.m.) Carpet Area",(172 sq.m.) Carpet Area,3 BHK2 Baths,"₹ 2.6 Cr₹ 14,054/sq.ft."
203,3 BHK Apartment in Ahinsa Khand 2,"₹ 6,071/sq.ft.","1,894 sq.ft. (176 sq.m.) Super built-up Area",(176 sq.m.) Super built-up Area,3 BHK3 Baths,"₹ 1.15 Cr₹ 6,071/sq.ft."
204,3 BHK Independent Builder Floor in Uttam Nagar,"₹ 5,727/sq.ft.","1,100 sq.ft. (102 sq.m.) Carpet Area",(102 sq.m.) Carpet Area,3 BHK2 Baths,"₹ 63 L₹ 5,727/sq.ft."
205,2 BHK Apartment in Noida Extension,"₹ 2,714/sq.ft.","1,050 sq.ft. (98 sq.m.) Carpet Area",(98 sq.m.) Carpet Area,2 BHK2 Baths,"₹ 28.5 L₹ 2,714/sq.ft."
206,4 BHK Independent Builder Floor in Punjabi Bagh,"₹ 14,648/sq.ft.","2,560 sq.ft. (238 sq.m.) Super built-up Area",(238 sq.m.) Super built-up Area,4 BHK4 Baths,"₹ 3.75 Cr₹ 14,648/sq.ft."
207,3 BHK Independent Builder Floor in Gujranwala Town,"₹ 7,158/sq.ft.",945 sq.ft. (88 sq.m.) Super built-up Area,(88 sq.m.) Super built-up Area,3 BHK2 Baths,"₹ 67 L₹ 7,158/sq.ft."
208,4 BHK Independent Builder Floor in Sector 73 Gurgaon,"₹ 12,970/sq.ft.","2,606 sq.ft. (242 sq.m.) Carpet Area",(242 sq.m.) Carpet Area,4 BHK4 Baths,"₹ 3.38 Cr₹ 12,970/sq.ft."
209,3 BHK Independent Builder Floor in Shanker Garden,"₹ 10,277/sq.ft.","1,800 sq.ft. (167 sq.m.) Carpet Area",(167 sq.m.) Carpet Area,3 BHK3 Baths,"₹ 1.85 Cr₹ 10,277/sq.ft."
210,6 Bedroom House in Beta 2 Greater Noida,"₹ 13,935/sq.ft.",645 sq.ft. (60 sq.m.) Plot Area,(60 sq.m.) Plot Area,6 BHK3 Baths,"₹ 85 L₹ 13,935/sq.ft."
211,4 BHK Independent Builder Floor in Shakti Nagar,"₹ 14,922/sq.ft.","2,178 sq.ft. (202 sq.m.) Carpet Area",(202 sq.m.) Carpet Area,4 BHK3 Baths,"₹ 3.25 Cr₹ 14,922/sq.ft."
212,3 BHK Apartment in Vasant Kunj,"₹ 20,384/sq.ft.","1,400 sq.ft. (130 sq.m.) Super built-up Area",(130 sq.m.) Super built-up Area,3 BHK2 Baths,"₹ 2.65 Cr₹ 20,384/sq.ft."
213,Residential land / Plot in Siddhartha Vihar,"₹ 13,935/sq.ft.","1,291 sq.ft. (120 sq.m.) Plot Area",(120 sq.m.) Plot Area,,"₹ 1.8 Cr₹ 13,935/sq.ft."
214,Residential land / Plot in Sector 108 Gurgaon,"₹ 13,873/sq.ft.","1,629 sq.ft. (151 sq.m.) Plot Area",(151 sq.m.) Plot Area,,"₹ 2.27 Cr₹ 13,873/sq.ft."
215,4 BHK Apartment in Sector 50 Noida,"₹ 7,638/sq.ft.","1,702 sq.ft. (158 sq.m.) Super built-up Area",(158 sq.m.) Super built-up Area,4 BHK3 Baths,"₹ 1.3 Cr₹ 7,638/sq.ft."
216,1 BHK Independent Builder Floor in Sector 6 Vaishali,"₹ 5,733/sq.ft.",450 sq.ft. (42 sq.m.) Carpet Area,(42 sq.m.) Carpet Area,1 BHK1 Bath,"₹ 25.8 L₹ 5,733/sq.ft."
217,3 BHK Apartment in H Block Vikaspuri,"₹ 11,613/sq.ft.","1,076 sq.ft. (100 sq.m.) Carpet Area",(100 sq.m.) Carpet Area,3 BHK2 Baths,"₹ 1.25 Cr₹ 11,613/sq.ft."
218,4 BHK Apartment in Saket,"₹ 34,223/sq.ft.","1,095 sq.ft. (102 sq.m.) Super built-up Area",(102 sq.m.) Super built-up Area,4 BHK3 Baths,"₹ 3.75 Cr₹ 34,223/sq.ft."
219,3 BHK Apartment in Civil Lines,"₹ 23,055/sq.ft.","1,800 sq.ft. (167 sq.m.) Carpet Area",(167 sq.m.) Carpet Area,3 BHK3 Baths,"₹ 4.15 Cr₹ 23,055/sq.ft."
220,4 BHK Apartment in Sector 92 Gurgaon,"₹ 4,216/sq.ft.","1,850 sq.ft. (172 sq.m.) Super built-up Area",(172 sq.m.) Super built-up Area,4 BHK3 Baths,"₹ 95 L₹ 4,216/sq.ft."
221,3 BHK Independent Builder Floor in Greenfield,"₹ 3,913/sq.ft.","1,150 sq.ft. (107 sq.m.) Super built-up Area",(107 sq.m.) Super built-up Area,3 BHK2 Baths,"₹ 45 L₹ 3,913/sq.ft."
222,2 BHK Independent Builder Floor in Tilak Nagar,"₹ 7,555/sq.ft.",675 sq.ft. (63 sq.m.) Carpet Area,(63 sq.m.) Carpet Area,2 BHK2 Baths,"₹ 51 L₹ 7,555/sq.ft."
223,3 BHK Apartment in Palam Colony,"₹ 9,111/sq.ft.",900 sq.ft. (84 sq.m.) Carpet Area,(84 sq.m.) Carpet Area,3 BHK2 Baths,"₹ 82 L₹ 9,111/sq.ft."
224,3 BHK Independent Builder Floor in Sector 8 Dwarka,"₹ 11,152/sq.ft.","1,076 sq.ft. (100 sq.m.) Carpet Area",(100 sq.m.) Carpet Area,3 BHK2 Baths,"₹ 1.2 Cr₹ 11,152/sq.ft."
225,2 BHK Apartment in Sector 103 Gurgaon,"₹ 5,703/sq.ft.","1,350 sq.ft. (125 sq.m.) Super built-up Area",(125 sq.m.) Super built-up Area,2 BHK2 Baths,"₹ 77 L₹ 5,703/sq.ft."
226,3 BHK Independent Builder Floor in Sector 17 Rohini,"₹ 14,285/sq.ft.",840 sq.ft. (78 sq.m.) Built-up Area,(78 sq.m.) Built-up Area,3 BHK2 Baths,"₹ 1.2 Cr₹ 14,285/sq.ft."
227,3 BHK Apartment in Sector 4 Vaishali,"₹ 5,597/sq.ft.","1,340 sq.ft. (124 sq.m.) Carpet Area",(124 sq.m.) Carpet Area,3 BHK2 Baths,"₹ 75 L₹ 5,597/sq.ft."
228,2 BHK Apartment in Sohna Road,"₹ 6,546/sq.ft.",611 sq.ft. (57 sq.m.) Carpet Area,(57 sq.m.) Carpet Area,2 BHK2 Baths,"₹ 40 L₹ 6,546/sq.ft."
229,4 BHK Independent Builder Floor in Model Town Phase 2,"₹ 24,000/sq.ft.","3,000 sq.ft. (279 sq.m.) Carpet Area",(279 sq.m.) Carpet Area,4 BHK4 Baths,"₹ 7.2 Cr₹ 24,000/sq.ft."
230,2 BHK Independent Builder Floor in Uttam Nagar East,"₹ 5,000/sq.ft.",540 sq.ft. (50 sq.m.) Carpet Area,(50 sq.m.) Carpet Area,2 BHK2 Baths,"₹ 27 L₹ 5,000/sq.ft."
231,2 BHK Apartment in Sector 104 Gurgaon,"₹ 3,700/sq.ft.","1,000 sq.ft. (93 sq.m.) Super built-up Area",(93 sq.m.) Super built-up Area,2 BHK2 Baths,"₹ 37 L₹ 3,700/sq.ft."
232,4 BHK Apartment in Sector 124 Noida,"₹ 17,000/sq.ft.","6,050 sq.ft. (562 sq.m.) Carpet Area",(562 sq.m.) Carpet Area,4 BHK5 Baths,"₹ 9.49 Cr₹ 17,000/sq.ft."
233,3 BHK Independent Builder Floor in Sector-33 Sohna,"₹ 9,756/sq.ft.","1,230 sq.ft. (114 sq.m.) Carpet Area",(114 sq.m.) Carpet Area,3 BHK2 Baths,"₹ 1.2 Cr₹ 9,756/sq.ft."
234,3 Bedroom House in Greater Noida West,"₹ 7,520/sq.ft.",585 sq.ft. (54 sq.m.) Plot Area,(54 sq.m.) Plot Area,3 BHK3 Baths,"₹ 43.99 L₹ 7,520/sq.ft."
235,3 BHK Independent Builder Floor in Vasant Kunj,"₹ 39,000/sq.ft.","1,500 sq.ft. (139 sq.m.) Built-up Area",(139 sq.m.) Built-up Area,3 BHK3 Baths,"₹ 5.85 Cr₹ 39,000/sq.ft."
236,4 BHK Apartment in Sector 93 A Noida,"₹ 10,256/sq.ft.","2,535 sq.ft. (236 sq.m.) Super built-up Area",(236 sq.m.) Super built-up Area,4 BHK4 Baths,"₹ 2.6 Cr₹ 10,256/sq.ft."
237,4 BHK Apartment in Sector 45 Faridabad,"₹ 6,947/sq.ft.","2,850 sq.ft. (265 sq.m.) Carpet Area",(265 sq.m.) Carpet Area,4 BHK5 Baths,"₹ 1.98 Cr₹ 6,947/sq.ft."
