,location,price_per_sqft,total_sqft,builtup_area,bhk,price
346,5 BHK Apartment in Sector 75 Noida,"₹ 8,625/sq.ft.","8,000 sq.ft. (743 sq.m.) Super built-up Area",(743 sq.m.) Super built-up Area,5 BHK6 Baths,"₹ 6.9 Cr₹ 8,625/sq.ft."
347,4 BHK Independent Builder Floor in Sector 48 Gurgaon,"₹ 8,863/sq.ft.","2,200 sq.ft. (204 sq.m.) Carpet Area",(204 sq.m.) Carpet Area,4 BHK4 Baths,"₹ 1.95 Cr₹ 8,863/sq.ft."
348,3 BHK Apartment in Sector 119 Noida,"₹ 4,905/sq.ft.","1,325 sq.ft. (123 sq.m.) Carpet Area",(123 sq.m.) Carpet Area,3 BHK3 Baths,"₹ 65 L₹ 4,905/sq.ft."
349,4 BHK Independent Builder Floor in Sector 19 Dwarka,"₹ 9,733/sq.ft.","2,250 sq.ft. (209 sq.m.) Super built-up Area",(209 sq.m.) Super built-up Area,4 BHK3 Baths,"₹ 2.19 Cr₹ 9,733/sq.ft."
350,2 BHK Independent Builder Floor in West Patel Nagar,"₹ 9,111/sq.ft.",900 sq.ft. (84 sq.m.) Carpet Area,(84 sq.m.) Carpet Area,2 BHK2 Baths,"₹ 82 L₹ 9,111/sq.ft."
351,2 BHK Apartment in Sector 77 Noida,"₹ 5,531/sq.ft.","1,175 sq.ft. (109 sq.m.) Super built-up Area",(109 sq.m.) Super built-up Area,2 BHK2 Baths,"₹ 75 L₹ 5,531/sq.ft."
352,Residential land / Plot in Pataudi,"₹ 1,000/sq.ft.","5,400 sq.ft. (502 sq.m.) Plot Area",(502 sq.m.) Plot Area,,"₹ 54 L₹ 1,000/sq.ft."
353,2 BHK Apartment in Sector 23 Rohini,"₹ 10,952/sq.ft.",840 sq.ft. (78 sq.m.) Super built-up Area,(78 sq.m.) Super built-up Area,2 BHK2 Baths,"₹ 92 L₹ 10,952/sq.ft."
354,3 BHK Apartment in Sector Pi 2 Greater Noida,"₹ 4,098/sq.ft.","1,586 sq.ft. (147 sq.m.) Carpet Area",(147 sq.m.) Carpet Area,3 BHK2 Baths,"₹ 65 L₹ 4,098/sq.ft."
355,10 Bedroom House in Sector 22 Noida,"₹ 10,535/sq.ft.","5,400 sq.ft. (502 sq.m.) Built-up Area",(502 sq.m.) Built-up Area,10 BHK7 Baths,"₹ 5.4 Cr₹ 10,535/sq.ft."
356,3 BHK Apartment in Beri Wala Bagh,"₹ 10,500/sq.ft.","1,000 sq.ft. (93 sq.m.) Carpet Area",(93 sq.m.) Carpet Area,3 BHK2 Baths,"₹ 1.05 Cr₹ 10,500/sq.ft."
357,2 BHK Apartment in Sohna,"₹ 5,577/sq.ft.",457 sq.ft. (42 sq.m.) Carpet Area,(42 sq.m.) Carpet Area,2 BHK2 Baths,"₹ 25.5 L₹ 5,577/sq.ft."
358,Residential land / Plot in Sector 61 Noida,"₹ 11,871/sq.ft.","4,843 sq.ft. (450 sq.m.) Plot Area",(450 sq.m.) Plot Area,,"₹ 5.75 Cr₹ 11,871/sq.ft."
359,2 BHK Apartment in Mayur Vihar Phase 1,"₹ 16,153/sq.ft.","1,300 sq.ft. (121 sq.m.) Super built-up Area",(121 sq.m.) Super built-up Area,2 BHK2 Baths,"₹ 2.1 Cr₹ 16,153/sq.ft."
360,2 BHK Apartment in Greater Noida West,"₹ 4,687/sq.ft.",960 sq.ft. (89 sq.m.) Super built-up Area,(89 sq.m.) Super built-up Area,2 BHK2 Baths,"₹ 45 L₹ 4,687/sq.ft."
361,2 BHK Apartment in Sector 43 Noida,"₹ 12,535/sq.ft.","1,053 sq.ft. (98 sq.m.) Super built-up Area",(98 sq.m.) Super built-up Area,2 BHK2 Baths,"₹ 1.32 Cr₹ 12,535/sq.ft."
362,3 BHK Independent Builder Floor in BPTP,"₹ 5,025/sq.ft.","1,950 sq.ft. (181 sq.m.) Super built-up Area",(181 sq.m.) Super built-up Area,3 BHK3 Baths,"₹ 98 L₹ 5,025/sq.ft."
363,3 BHK Independent Builder Floor in Gorakh Park West,"₹ 6,566/sq.ft.",990 sq.ft. (92 sq.m.) Built-up Area,(92 sq.m.) Built-up Area,3 BHK2 Baths,"₹ 65 L₹ 6,566/sq.ft."
364,Residential land / Plot in Sector 39 Gurgaon,"₹ 13,833/sq.ft.","4,518 sq.ft. (420 sq.m.) Plot Area",(420 sq.m.) Plot Area,,"₹ 6.25 Cr₹ 13,833/sq.ft."
365,3 BHK Apartment in Greater Noida West,"₹ 6,111/sq.ft.","1,350 sq.ft. (125 sq.m.) Super built-up Area",(125 sq.m.) Super built-up Area,3 BHK2 Baths,"₹ 82.5 L₹ 6,111/sq.ft."
366,3 BHK Apartment in Sector 16 B Greater Noida,"₹ 4,680/sq.ft.","1,175 sq.ft. (109 sq.m.) Carpet Area",(109 sq.m.) Carpet Area,3 BHK2 Baths,"₹ 55 L₹ 4,680/sq.ft."
367,Studio Apartments / 1 RK Flats in Jasola,"₹ 6,500/sq.ft.",200 sq.ft. (19 sq.m.) Super built-up Area,(19 sq.m.) Super built-up Area,1 BHK1 Bath,"₹ 13 L₹ 6,500/sq.ft."
368,Residential land / Plot in Sector 62 Faridabad,"₹ 5,710/sq.ft.","3,240 sq.ft. (301 sq.m.) Plot Area",(301 sq.m.) Plot Area,,"₹ 1.85 Cr₹ 5,710/sq.ft."
369,3 BHK Apartment in Rajendar Nagar,"₹ 3,846/sq.ft.","1,300 sq.ft. (121 sq.m.) Carpet Area",(121 sq.m.) Carpet Area,3 BHK2 Baths,"₹ 50 L₹ 3,846/sq.ft."
370,Residential land / Plot in Sector 67A Gurgaon,"₹ 13,333/sq.ft.","2,700 sq.ft. (251 sq.m.) Plot Area",(251 sq.m.) Plot Area,,"₹ 3.6 Cr₹ 13,333/sq.ft."
371,3 BHK Independent Builder Floor in Neeti Bagh,"₹ 36,046/sq.ft.","2,150 sq.ft. (200 sq.m.) Super built-up Area",(200 sq.m.) Super built-up Area,3 BHK4 Baths,"₹ 6.8 Cr₹ 36,046/sq.ft."
372,1 BHK Serviced Apartment in Sector 94 Noida,"₹ 11,979/sq.ft.",768 sq.ft. (71 sq.m.) Carpet Area,(71 sq.m.) Carpet Area,1 BHK1 Bath,"₹ 92 L₹ 11,979/sq.ft."
373,2 BHK Independent Builder Floor in Inderpuri,"₹ 6,667/sq.ft.",540 sq.ft. (50 sq.m.) Super built-up Area,(50 sq.m.) Super built-up Area,2 BHK2 Baths,"₹ 36 L₹ 6,667/sq.ft."
374,4 BHK Apartment in Sector 4 Vaishali,"₹ 5,357/sq.ft.","2,800 sq.ft. (260 sq.m.) Super built-up Area",(260 sq.m.) Super built-up Area,4 BHK3 Baths,"₹ 1.5 Cr₹ 5,357/sq.ft."
375,3 BHK Apartment in Paschim Vihar,"₹ 15,384/sq.ft.","1,300 sq.ft. (121 sq.m.) Built-up Area",(121 sq.m.) Built-up Area,3 BHK3 Baths,"₹ 2 Cr₹ 15,384/sq.ft."
376,3 BHK Apartment in Sector 94 Noida,"₹ 9,406/sq.ft.","2,105 sq.ft. (196 sq.m.) Super built-up Area",(196 sq.m.) Super built-up Area,3 BHK3 Baths,"₹ 1.98 Cr₹ 9,406/sq.ft."
377,3 BHK Independent Builder Floor in Lajpat Nagar 3,"₹ 25,000/sq.ft.","1,800 sq.ft. (167 sq.m.) Carpet Area",(167 sq.m.) Carpet Area,3 BHK3 Baths,"₹ 4.5 Cr₹ 25,000/sq.ft."
378,Residential land / Plot in Sector 89 Faridabad,"₹ 10,556/sq.ft.","2,655 sq.ft. (247 sq.m.) Plot Area",(247 sq.m.) Plot Area,,"₹ 2.8 Cr₹ 10,556/sq.ft."
379,2 BHK Apartment in Sector 17 Vasundhara,"₹ 8,125/sq.ft.",800 sq.ft. (74 sq.m.) Carpet Area,(74 sq.m.) Carpet Area,2 BHK2 Baths,"₹ 65 L₹ 8,125/sq.ft."
380,6 Bedroom House in Pitampura,"₹ 68,664/sq.ft.","1,602 sq.ft. (149 sq.m.) Plot Area",(149 sq.m.) Plot Area,6 BHK5 Baths,"₹ 11 Cr₹ 68,664/sq.ft."
381,2 BHK Apartment in Indirapuram,"₹ 7,407/sq.ft.","1,080 sq.ft. (100 sq.m.) Carpet Area",(100 sq.m.) Carpet Area,2 BHK2 Baths,"₹ 80 L₹ 7,407/sq.ft."
382,Residential land / Plot in Sector 18 Yamuna Expressway,"₹ 3,437/sq.ft.","3,229 sq.ft. (300 sq.m.) Plot Area",(300 sq.m.) Plot Area,,"₹ 1.11 Cr₹ 3,437/sq.ft."
383,12 Bedroom House in Sector 11 Gurgaon,"₹ 15,555/sq.ft.","2,250 sq.ft. (209 sq.m.) Plot Area",(209 sq.m.) Plot Area,12 BHK12 Baths,"₹ 3.5 Cr₹ 15,555/sq.ft."
384,2 BHK Apartment in Sector 15 Rohini,"₹ 15,555/sq.ft.",900 sq.ft. (84 sq.m.) Carpet Area,(84 sq.m.) Carpet Area,2 BHK2 Baths,"₹ 1.4 Cr₹ 15,555/sq.ft."
385,2 BHK Independent Builder Floor in Sohna Road,"₹ 6,806/sq.ft.",822 sq.ft. (76 sq.m.) Super built-up Area,(76 sq.m.) Super built-up Area,2 BHK2 Baths,"₹ 56 L₹ 6,806/sq.ft."
386,3 BHK Apartment in Sector D Vasant Kunj,"₹ 12,972/sq.ft.","1,850 sq.ft. (172 sq.m.) Super built-up Area",(172 sq.m.) Super built-up Area,3 BHK2 Baths,"₹ 2.4 Cr₹ 12,972/sq.ft."
387,Residential land / Plot in Block G Sector-20 Yamuna Expressway,"₹ 4,490/sq.ft.","3,229 sq.ft. (300 sq.m.) Plot Area",(300 sq.m.) Plot Area,,"₹ 1.45 Cr₹ 4,490/sq.ft."
388,5 Bedroom House in Sector 22 Gurgaon,"₹ 15,766/sq.ft.","3,330 sq.ft. (309 sq.m.) Plot Area",(309 sq.m.) Plot Area,5 BHK5 Baths,"₹ 5.25 Cr₹ 15,766/sq.ft."
389,4 BHK Independent Builder Floor in DLF Phase 2,"₹ 18,666/sq.ft.","3,000 sq.ft. (279 sq.m.) Carpet Area",(279 sq.m.) Carpet Area,4 BHK4 Baths,"₹ 5.6 Cr₹ 18,666/sq.ft."
